itdb generation enum	readable string
ITDB_IPOD_GENERATION_UNKNOWN	Unknown iPod
ITDB_IPOD_GENERATION_FIRST	iPod 1
ITDB_IPOD_GENERATION_SECOND	iPod 2
ITDB_IPOD_GENERATION_THIRD	iPod 3
ITDB_IPOD_GENERATION_FOURTH	iPod 4
ITDB_IPOD_GENERATION_PHOTO	iPod Photo
ITDB_IPOD_GENERATION_MOBILE	iPod Mobile
ITDB_IPOD_GENERATION_MINI_1	iPod Mini 1
ITDB_IPOD_GENERATION_MINI_2	iPod Mini 2
ITDB_IPOD_GENERATION_SHUFFLE_1	iPod Shuffle 1
ITDB_IPOD_GENERATION_SHUFFLE_2	iPod Shuffle 2
ITDB_IPOD_GENERATION_SHUFFLE_3	iPod Shuffle 3
ITDB_IPOD_GENERATION_NANO_1	iPod Nano 1
ITDB_IPOD_GENERATION_NANO_2	iPod Nano 2
ITDB_IPOD_GENERATION_NANO_3	iPod Nano 3
ITDB_IPOD_GENERATION_NANO_4	iPod Nano 4
ITDB_IPOD_GENERATION_VIDEO_1	iPod Video 1
ITDB_IPOD_GENERATION_VIDEO_2	iPod Video 2
ITDB_IPOD_GENERATION_CLASSIC_1	iPod Classic 1
ITDB_IPOD_GENERATION_CLASSIC_2	iPod Classic 2
ITDB_IPOD_GENERATION_TOUCH_1	iPod Touch 1
ITDB_IPOD_GENERATION_IPHONE_1	iPod iPhone 1
ITDB_IPOD_GENERATION_SHUFFLE_4	iPod Shuffle 4
ITDB_IPOD_GENERATION_TOUCH_2	iPod Touch 2
ITDB_IPOD_GENERATION_IPHONE_2	iPod iPhone 2
ITDB_IPOD_GENERATION_IPHONE_3	iPod iPhone 3
ITDB_IPOD_GENERATION_CLASSIC_3	iPod Classic 3
ITDB_IPOD_GENERATION_NANO_5	iPod Nano 5
ITDB_IPOD_GENERATION_TOUCH_3	iPod Touch 3
ITDB_IPOD_GENERATION_IPAD_1	iPod iPad 1
ITDB_IPOD_GENERATION_IPHONE_4	iPod iPhone 4
ITDB_IPOD_GENERATION_TOUCH_4	iPod Touch 4
ITDB_IPOD_GENERATION_NANO_6	iPod Nano 6
